part,original_g,candidate_g,saved_g,saved_percent
Base_SO101,102.09243693299987,79.389503568016,22.702933364983878,22.237625084689782
Base_motor_holder_SO101,20.68820040199595,20.68820040199595,0.0,0.0
Moving_Jaw_SO101,15.239430870163568,15.239430870163568,0.0,0.0
Wrist_Roll_Follower_SO101,35.266393868476676,35.266393868476676,0.0,0.0
Motor_holder_SO101_Base,15.753367400375987,15.753367400375987,0.0,0.0
Motor_holder_SO101_Wrist,15.898540433536562,15.898540433536562,0.0,0.0
Rotation_Pitch_SO101,36.614795740261265,36.614795740261265,0.0,0.0
Under_arm_SO101,45.25920269053798,45.25920269053798,0.0,0.0
Upper_arm_SO101,56.82578138813492,56.82578138813492,0.0,0.0
WaveShare_Mounting_Plate_SO101,6.640922523662917,6.12645023807974,0.5144722855831771,7.7470002661529485
Wrist_Roll_Pitch_SO101,29.54840706872067,29.54840706872067,0.0,0.0
