part,original_g,candidate_g,saved_g,saved_percent
Base_SO101,102.0919647655879,79.38805148395082,22.703913281637085,22.238687769176803
Base_motor_holder_SO101,20.718951382367838,20.718951382367838,0.0,0.0
Moving_Jaw_SO101,15.235780647101176,15.235780647101176,0.0,0.0
Wrist_Roll_Follower_SO101,35.2838787071624,35.2838787071624,0.0,0.0
Motor_holder_SO101_Base,15.769509674219268,15.769509674219268,0.0,0.0
Motor_holder_SO101_Wrist,15.915747179306203,15.915747179306203,0.0,0.0
Rotation_Pitch_SO101,36.84360981156489,35.46159678389006,1.3820130276748301,3.7510250345801577
Under_arm_SO101,45.26271646195957,43.29012537280789,1.9725910891516776,4.358092583350615
Upper_arm_SO101,56.83590947016277,55.59179139864326,1.2441180715195088,2.1889648342350077
WaveShare_Mounting_Plate_SO101,6.636720379811053,6.12645023807974,0.5102701417313131,7.688588828957721
Wrist_Roll_Pitch_SO101,29.467480419075535,29.467481075236453,-6.561609176003458e-07,-2.2267289567778903e-06
